version,ciclo_id,ts,portfolio,mercado,exposicion,estrategia,universo,senales,ordenes,riesgo,deriva
v1,5,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 114024.02, 'ETH': 4327.39, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,6,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 114040.98, 'ETH': 4329.17, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,7,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 114040.98, 'ETH': 4329.16, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,8,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 114009.7, 'ETH': 4325.15, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,9,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 114009.69, 'ETH': 4325.15, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,10,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113989.75, 'ETH': 4327.84, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,11,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113989.75, 'ETH': 4328.33, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,12,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113989.75, 'ETH': 4328.34, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,13,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113995.12, 'ETH': 4326.32, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,14,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113995.11, 'ETH': 4326.33, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,15,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113975.58, 'ETH': 4324.43, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
v1,16,1970-01-01T00:00:00Z,"{'BTC': 700.0, 'ETH': 200.0, 'USDT': 100.0}","{'BTC': 113975.58, 'ETH': 4324.43, 'USDT': 1}","{'BTC': 0.5, 'ETH': 0.5, 'USDT': 0.5}",estrategia_agresiva,"['BTC', 'ETH', 'USDT']",{},"[{'status': 'rejected', 'orden': {'symbol': 'BTC/USDT', 'side': 'sell', 'amount': 699.5, 'type': 'market', 'price': None}}, {'status': 'error', 'message': 'binance Account has insufficient balance for requested action.'}, {'status': 'error', 'message': 'binance does not have market symbol USDT/USDT'}]","{'aprobado': True, 'motivo': None}",False
