operation_id,symbol,sell_date,buy_date,quantity,buy_price,sell_price,cost_basis,sell_value,gain_loss,holding_period_days
BTCUSDT_2026-02-13T00:46:44.224816_1507573441792,BTCUSDT,2026-02-13T00:46:44.224816,2026-02-13T00:27:43.882968,0.0005490960580414017,66081.20408999998,65923.96153,36.28,36.2,-0.09,0
BTCUSDT_2026-02-13T00:46:44.224816_1507573441792,BTCUSDT,2026-02-13T00:46:44.224816,2026-02-13T00:28:19.980169,0.0002741401372994849,66080.2236,65923.96153,18.12,18.07,-0.04,0
BTCUSDT_2026-02-13T00:46:44.224816_1507573441792,BTCUSDT,2026-02-13T00:46:44.224816,2026-02-13T00:28:56.101631,0.00013684431813576096,66089.918445,65923.96153,9.04,9.02,-0.02,0
BTCUSDT_2026-02-13T00:46:44.224816_1507573441792,BTCUSDT,2026-02-13T00:46:44.224816,2026-02-13T00:31:57.500631,0.0006716802457210605,66123.94544999998,65923.96153,44.41,44.28,-0.13,0
BTCUSDT_2026-02-13T00:51:45.109364_1507573576192,BTCUSDT,2026-02-13T00:51:45.109364,2026-02-13T00:31:57.500631,0.0004259232614017112,66123.94544999998,65900.24339500001,28.16,28.07,-0.1,0
BTCUSDT_2026-02-13T00:51:45.109364_1507573576192,BTCUSDT,2026-02-13T00:51:45.109364,2026-02-13T00:32:35.872951,0.0005480468540118275,66115.671315,65900.24339500001,36.23,36.12,-0.12,0
BTCUSDT_2026-02-13T00:51:45.109364_1507573576192,BTCUSDT,2026-02-13T00:51:45.109364,2026-02-13T00:33:11.992423,0.0002738914820749354,66048.26762999999,65900.24339500001,18.09,18.05,-0.04,0
BTCUSDT_2026-02-13T00:51:45.109364_1507573576192,BTCUSDT,2026-02-13T00:51:45.109364,2026-02-13T00:33:48.038114,0.0001368963003975284,65972.98000499999,65900.24339500001,9.03,9.02,-0.01,0
BTCUSDT_2026-02-13T00:51:45.109364_1507573576192,BTCUSDT,2026-02-13T00:51:45.109364,2026-02-13T00:37:06.641519,0.0006644400896393883,66060.57377999999,65900.24339500001,43.89,43.79,-0.11,0
BTCUSDT_2026-02-13T02:03:29.501635_1509678770816,BTCUSDT,2026-02-13T02:03:29.501635,2026-02-13T00:37:06.641519,0.000431474141373939,66060.57377999999,66415.54561500001,28.5,28.66,0.15,0
BTCUSDT_2026-02-13T02:03:29.501635_1509678770816,BTCUSDT,2026-02-13T02:03:29.501635,2026-02-13T00:37:42.753189,0.0005470863514933076,66066.43671,66415.54561500001,36.14,36.34,0.19,0
BTCUSDT_2026-02-13T02:03:29.501635_1509678770816,BTCUSDT,2026-02-13T02:03:29.501635,2026-02-13T00:38:18.836099,0.0002730823122626708,66078.632805,66415.54561500001,18.04,18.14,0.09,0
BTCUSDT_2026-02-13T02:03:29.501635_1509678770816,BTCUSDT,2026-02-13T02:03:29.501635,2026-02-13T00:39:40.345025,0.00013628324490474176,66104.345655,66415.54561500001,9.01,9.05,0.04,0
BTCUSDT_2026-02-13T02:03:29.501635_1509678770816,BTCUSDT,2026-02-13T02:03:29.501635,2026-02-13T00:42:07.419428,0.0006584575619708066,66121.894425,66415.54561500001,43.54,43.73,0.19,0
BTCUSDT_2026-02-13T02:52:34.177496_1507572853568,BTCUSDT,2026-02-13T02:52:34.177496,2026-02-13T00:42:07.419428,0.00043567407905963757,66121.894425,66661.71247,28.81,29.04,0.24,0
BTCUSDT_2026-02-13T02:52:34.177496_1507572853568,BTCUSDT,2026-02-13T02:52:34.177496,2026-02-13T00:42:43.569851,0.0005463304249483488,66111.54925499999,66661.71247,36.12,36.42,0.3,0
BTCUSDT_2026-02-13T02:52:34.177496_1507572853568,BTCUSDT,2026-02-13T02:52:34.177496,2026-02-13T00:43:19.688560,0.00027275545190530356,66111.51924,66661.71247,18.03,18.18,0.15,0
BTCUSDT_2026-02-13T02:52:34.177496_1507572853568,BTCUSDT,2026-02-13T02:52:34.177496,2026-02-13T00:43:55.796967,0.00013620163893654063,66097.662315,66661.71247,9.0,9.08,0.08,0
BTCUSDT_2026-02-13T02:52:34.177496_1507572853568,BTCUSDT,2026-02-13T02:52:34.177496,2026-02-13T00:46:59.262993,0.0005164334782508904,66034.40069999998,66661.71247,34.1,34.43,0.32,0
BTCUSDT_2026-02-13T02:57:34.712828_1507574762944,BTCUSDT,2026-02-13T02:57:34.712828,2026-02-13T00:46:59.262993,0.0005753548751673957,66034.40069999998,66676.645,37.99,38.36,0.37,0
BTCUSDT_2026-02-13T02:57:34.712828_1507574762944,BTCUSDT,2026-02-13T02:57:34.712828,2026-02-13T00:47:35.340881,0.0005453134255063494,66005.536275,66676.645,35.99,36.36,0.37,0
BTCUSDT_2026-02-13T02:57:34.712828_1507574762944,BTCUSDT,2026-02-13T02:57:34.712828,2026-02-13T00:48:11.433515,0.0002723037257732686,65991.929475,66676.645,17.97,18.16,0.19,0
BTCUSDT_2026-02-13T02:57:34.712828_1507574762944,BTCUSDT,2026-02-13T02:57:34.712828,2026-02-13T00:48:47.566244,0.00013611813012349798,65909.23815,66676.645,8.97,9.08,0.1,0
BTCUSDT_2026-02-13T02:57:34.712828_1507574762944,BTCUSDT,2026-02-13T02:57:34.712828,2026-02-13T00:52:12.201932,0.0005094919736857373,65909.008035,66676.645,33.58,33.97,0.39,0
BTCUSDT_2026-02-13T03:02:35.493969_1507572843712,BTCUSDT,2026-02-13T03:02:35.493969,2026-02-13T00:52:12.201932,0.0005824152040658877,65909.008035,66734.29616,38.39,38.87,0.48,0
BTCUSDT_2026-02-13T03:02:35.493969_1507572843712,BTCUSDT,2026-02-13T03:02:35.493969,2026-02-13T00:53:27.684822,0.0005445793575963244,65976.181605,66734.29616,35.93,36.34,0.41,0
BTCUSDT_2026-02-13T03:02:35.493969_1507572843712,BTCUSDT,2026-02-13T03:02:35.493969,2026-02-13T00:54:18.501060,0.000271799292039928,65996.04152999999,66734.29616,17.94,18.14,0.2,0
BTCUSDT_2026-02-13T03:02:35.493969_1507572843712,BTCUSDT,2026-02-13T03:02:35.493969,2026-02-13T02:03:29.462447,0.00013470385512717248,66481.994385,66734.29616,8.96,8.99,0.03,0
BTCUSDT_2026-02-13T03:02:35.493969_1507572843712,BTCUSDT,2026-02-13T03:02:35.493969,2026-02-13T02:04:20.388045,0.0005020853190926995,66464.47562999999,66734.29616,33.37,33.51,0.14,0
BTCUSDT_2026-02-13T03:07:36.214361_1507572842560,BTCUSDT,2026-02-13T03:07:36.214361,2026-02-13T02:04:20.388045,0.0005871100920630081,66464.47562999999,66500.41316,39.02,39.04,0.02,0
BTCUSDT_2026-02-13T03:07:36.214361_1507572842560,BTCUSDT,2026-02-13T03:07:36.214361,2026-02-13T02:05:41.911111,0.0005437554899008223,66467.53716,66500.41316,36.14,36.16,0.02,0
BTCUSDT_2026-02-13T03:07:36.214361_1507572842560,BTCUSDT,2026-02-13T03:07:36.214361,2026-02-13T02:52:34.136485,0.0002704084988939822,66728.40753,66500.41316,18.04,17.98,-0.06,0
BTCUSDT_2026-02-13T03:07:36.214361_1507572842560,BTCUSDT,2026-02-13T03:07:36.214361,2026-02-13T02:53:12.999844,0.0006300906185396548,66734.480565,66500.41316,42.05,41.9,-0.15,0
BTCUSDT_2026-02-13T03:12:37.130302_1507572893952,BTCUSDT,2026-02-13T03:12:37.130302,2026-02-13T02:53:12.999844,0.00045707927934668044,66734.480565,66522.86193,30.5,30.41,-0.1,0
BTCUSDT_2026-02-13T03:12:37.130302_1507572893952,BTCUSDT,2026-02-13T03:12:37.130302,2026-02-13T02:53:49.069482,0.0005428095825145932,66729.52808999999,66522.86193,36.22,36.11,-0.11,0
BTCUSDT_2026-02-13T03:12:37.130302_1507572893952,BTCUSDT,2026-02-13T03:12:37.130302,2026-02-13T02:54:25.146969,0.00027106737151894646,66712.3395,66522.86193,18.08,18.03,-0.05,0
BTCUSDT_2026-02-13T03:12:37.130302_1507572893952,BTCUSDT,2026-02-13T03:12:37.130302,2026-02-13T02:55:01.203359,0.00013530681901674065,66723.92529,66522.86193,9.03,9.0,-0.03,0
BTCUSDT_2026-02-13T03:12:37.130302_1507572893952,BTCUSDT,2026-02-13T03:12:37.130302,2026-02-13T02:58:01.777368,0.0006217954354386238,66743.355,66522.86193,41.5,41.36,-0.14,0
BTCUSDT_2026-02-13T03:17:56.557216_1507573004864,BTCUSDT,2026-02-13T03:17:56.557216,2026-02-13T02:58:01.777368,0.0004634994332198704,66743.355,66518.514105,30.94,30.83,-0.1,0
